Trotter_steps,circuit_layers,Final_fidelity,frobenius_error,mpo_fidelity,err_init/err_opt
6,1,0.864324377358137,0.8070945564638841,3.313234535087533e-10,1.4423491524419192
6,2,0.9020316325632771,0.9806791080353994,2.4191455002765766e-10,2.089486566731126
6,3,0.9067840552403104,1.223170606937599,1.4050488963853626e-10,4.518599229898731
6,4,0.8819492282648552,1.3315134910330106,1.0404601056845904e-10,9.432152293480454
6,5,0.8535394462983632,1.4466915333099402,7.12811619301459e-11,48.19189593230459
6,6,0.8325394018023636,1.474415263114638,6.431697766455159e-11,438.1016907873258
6,7,0.8347490474682825,1.4868461661960737,6.131056164103235e-11,9598.08432766829
6,8,0.8266760583572145,1.486220121530094,6.14602499456401e-11,9463.106953860066
6,9,0.8335497379142995,1.4863748601254092,6.142323471399762e-11,23456.834592751653
6,10,0.8267551717810351,1.4856404435762154,6.159901462598492e-11,29812.24587566039
6,11,0.8328167634643322,1.4857943504331184,6.156215678119501e-11,142777.32840759226
6,12,0.8268018735168398,1.4860616581790984,6.149816773682287e-11,242308.41344016942
