Trotter_steps,circuit_layers,Starting_fidelity,Final_fidelity
5,1,0.006121906204979169,0.4704345037156189
5,2,0.006667955429990434,0.4880259348905168
5,3,0.007205583554072456,0.48802593506851333
5,4,0.0072055835540724535,0.5496940033344028
5,5,0.00710330974723904,0.5707141204920516
5,6,0.006954055101930041,0.594497474551096
5,7,0.0069710649920019215,0.6135205308778336
5,8,0.006302257512221666,0.633736644951733
5,9,0.00557167642502763,0.6472875563715057
5,10,0.005597663104517134,0.7648062422827964
5,11,0.005370741391461634,0.7672781829020452
5,12,0.0050750497419730445,0.8340943738523523
5,13,0.005120643253595435,0.8384596103533613
5,14,0.005769169958487817,0.893991205139318
5,15,0.006416684068584981,0.9049706570423043
